['/home/rowleya/SpiNNaker/SpiNNUtils/spinn_utilities/spinn_utilities.cfg', '/home/rowleya/SpiNNaker/SpiNNMachine/spinn_machine/spinn_machine.cfg', '/home/rowleya/SpiNNaker/PACMAN/pacman/pacman.cfg', '/home/rowleya/SpiNNaker/SpiNNMan/spinnman/spinnman.cfg', '/home/rowleya/SpiNNaker/DataSpecification/data_specification/data_specification.cfg', '/home/rowleya/SpiNNaker/SpiNNFrontEndCommon/spinn_front_end_common/interface/spinnaker.cfg', '/home/rowleya/SpiNNaker/sPyNNaker/spynnaker/pyNN/spynnaker.cfg', '/home/juan/.spynnaker.cfg']
Sending x=16, y=12, polarity=1, packed=0x8010800c
Sending x=16, y=5, polarity=1, packed=0x80108005
Sending x=4, y=8, polarity=1, packed=0x80048008
Sending x=10, y=5, polarity=1, packed=0x800a8005
Sending x=17, y=5, polarity=1, packed=0x80118005
Sending x=15, y=4, polarity=1, packed=0x800f8004
Sending x=22, y=14, polarity=1, packed=0x8016800e
Sending x=12, y=6, polarity=1, packed=0x800c8006
Sending x=5, y=5, polarity=1, packed=0x80058005
Sending x=10, y=11, polarity=1, packed=0x800a800b
Sending x=11, y=3, polarity=1, packed=0x800b8003
Sending x=21, y=16, polarity=1, packed=0x80158010
Sending x=11, y=6, polarity=1, packed=0x800b8006
Sending x=9, y=12, polarity=1, packed=0x8009800c
Sending x=22, y=17, polarity=1, packed=0x80168011
Sending x=9, y=14, polarity=1, packed=0x8009800e
Sending x=14, y=5, polarity=1, packed=0x800e8005
Sending x=1, y=11, polarity=1, packed=0x8001800b
Sending x=15, y=17, polarity=1, packed=0x800f8011
Sending x=21, y=14, polarity=1, packed=0x8015800e
Sending x=13, y=15, polarity=1, packed=0x800d800f
Sending x=14, y=15, polarity=1, packed=0x800e800f
Sending x=14, y=2, polarity=1, packed=0x800e8002
Sending x=4, y=8, polarity=1, packed=0x80048008
Sending x=8, y=9, polarity=1, packed=0x80088009
Sending x=9, y=8, polarity=1, packed=0x80098008
Sending x=20, y=13, polarity=1, packed=0x8014800d
Sending x=5, y=11, polarity=1, packed=0x8005800b
Sending x=7, y=17, polarity=1, packed=0x80078011
Sending x=19, y=12, polarity=1, packed=0x8013800c
Sending x=16, y=5, polarity=1, packed=0x80108005
Sending x=8, y=13, polarity=1, packed=0x8008800d
Sending x=12, y=17, polarity=1, packed=0x800c8011
Sending x=10, y=17, polarity=1, packed=0x800a8011
Sending x=0, y=8, polarity=1, packed=0x80008008
Sending x=16, y=6, polarity=1, packed=0x80108006
Sending x=4, y=7, polarity=1, packed=0x80048007
Sending x=13, y=12, polarity=1, packed=0x800d800c
Sending x=23, y=16, polarity=1, packed=0x80178010
Sending x=7, y=4, polarity=1, packed=0x80078004
Sending x=22, y=0, polarity=1, packed=0x80168000
Sending x=8, y=1, polarity=1, packed=0x80088001
Sending x=8, y=2, polarity=1, packed=0x80088002
Sending x=21, y=11, polarity=1, packed=0x8015800b
Sending x=23, y=6, polarity=1, packed=0x80178006
Sending x=12, y=15, polarity=1, packed=0x800c800f
Sending x=9, y=1, polarity=1, packed=0x80098001
Sending x=10, y=3, polarity=1, packed=0x800a8003
Sending x=0, y=8, polarity=1, packed=0x80008008
Sending x=3, y=4, polarity=1, packed=0x80038004
Sending x=8, y=16, polarity=1, packed=0x80088010
Sending x=8, y=7, polarity=1, packed=0x80088007
Sending x=10, y=3, polarity=1, packed=0x800a8003
Sending x=10, y=8, polarity=1, packed=0x800a8008
Sending x=7, y=13, polarity=1, packed=0x8007800d
Sending x=3, y=13, polarity=1, packed=0x8003800d
Sending x=3, y=8, polarity=1, packed=0x80038008
Sending x=22, y=15, polarity=1, packed=0x8016800f
Sending x=3, y=11, polarity=1, packed=0x8003800b
Sending x=3, y=14, polarity=1, packed=0x8003800e
Sending x=20, y=9, polarity=1, packed=0x80148009
Sending x=22, y=10, polarity=1, packed=0x8016800a
Sending x=13, y=15, polarity=1, packed=0x800d800f
Sending x=2, y=6, polarity=1, packed=0x80028006
Sending x=23, y=6, polarity=1, packed=0x80178006
Sending x=7, y=6, polarity=1, packed=0x80078006
Sending x=15, y=12, polarity=1, packed=0x800f800c
Sending x=15, y=1, polarity=1, packed=0x800f8001
Sending x=0, y=13, polarity=1, packed=0x8000800d
Sending x=0, y=15, polarity=1, packed=0x8000800f
Sending x=7, y=6, polarity=1, packed=0x80078006
Sending x=11, y=14, polarity=1, packed=0x800b800e
Sending x=3, y=8, polarity=1, packed=0x80038008
Sending x=18, y=14, polarity=1, packed=0x8012800e
Sending x=5, y=14, polarity=1, packed=0x8005800e
Sending x=1, y=0, polarity=1, packed=0x80018000
Sending x=20, y=4, polarity=1, packed=0x80148004
Sending x=5, y=5, polarity=1, packed=0x80058005
Sending x=2, y=0, polarity=1, packed=0x80028000
Sending x=2, y=17, polarity=1, packed=0x80028011
Sending x=23, y=0, polarity=1, packed=0x80178000
Sending x=13, y=6, polarity=1, packed=0x800d8006
Sending x=5, y=5, polarity=1, packed=0x80058005
Sending x=21, y=16, polarity=1, packed=0x80158010
Sending x=17, y=5, polarity=1, packed=0x80118005
Sending x=5, y=2, polarity=1, packed=0x80058002
Sending x=13, y=9, polarity=1, packed=0x800d8009
Sending x=6, y=9, polarity=1, packed=0x80068009
Sending x=18, y=8, polarity=1, packed=0x80128008
Sending x=1, y=12, polarity=1, packed=0x8001800c
Sending x=12, y=11, polarity=1, packed=0x800c800b
Sending x=5, y=11, polarity=1, packed=0x8005800b
Sending x=5, y=10, polarity=1, packed=0x8005800a
Sending x=18, y=6, polarity=1, packed=0x80128006
Sending x=0, y=12, polarity=1, packed=0x8000800c
Sending x=12, y=8, polarity=1, packed=0x800c8008
Sending x=17, y=4, polarity=1, packed=0x80118004
Sending x=9, y=8, polarity=1, packed=0x80098008
Sending x=14, y=4, polarity=1, packed=0x800e8004
Sending x=19, y=15, polarity=1, packed=0x8013800f
Sending x=9, y=5, polarity=1, packed=0x80098005
Sending x=6, y=8, polarity=1, packed=0x80068008
Sending x=16, y=7, polarity=1, packed=0x80108007
Sending x=3, y=8, polarity=1, packed=0x80038008
Sending x=2, y=4, polarity=1, packed=0x80028004
Sending x=13, y=8, polarity=1, packed=0x800d8008
Sending x=15, y=15, polarity=1, packed=0x800f800f
Sending x=2, y=1, polarity=1, packed=0x80028001
Sending x=18, y=1, polarity=1, packed=0x80128001
Sending x=11, y=12, polarity=1, packed=0x800b800c
Sending x=7, y=11, polarity=1, packed=0x8007800b
Sending x=5, y=8, polarity=1, packed=0x80058008
Sending x=5, y=7, polarity=1, packed=0x80058007
Sending x=6, y=16, polarity=1, packed=0x80068010
Sending x=4, y=1, polarity=1, packed=0x80048001
Sending x=0, y=3, polarity=1, packed=0x80008003
Sending x=11, y=1, polarity=1, packed=0x800b8001
Sending x=6, y=4, polarity=1, packed=0x80068004
Sending x=6, y=12, polarity=1, packed=0x8006800c
Sending x=21, y=0, polarity=1, packed=0x80158000
Sending x=10, y=12, polarity=1, packed=0x800a800c
Sending x=11, y=2, polarity=1, packed=0x800b8002
Sending x=17, y=3, polarity=1, packed=0x80118003
Sending x=17, y=3, polarity=1, packed=0x80118003
Sending x=0, y=8, polarity=1, packed=0x80008008
Sending x=5, y=17, polarity=1, packed=0x80058011
Sending x=22, y=11, polarity=1, packed=0x8016800b
Sending x=23, y=5, polarity=1, packed=0x80178005
Sending x=7, y=8, polarity=1, packed=0x80078008
Sending x=9, y=15, polarity=1, packed=0x8009800f
Sending x=2, y=3, polarity=1, packed=0x80028003
Sending x=12, y=6, polarity=1, packed=0x800c8006
Sending x=3, y=12, polarity=1, packed=0x8003800c
Sending x=11, y=13, polarity=1, packed=0x800b800d
Sending x=0, y=16, polarity=1, packed=0x80008010
Sending x=23, y=14, polarity=1, packed=0x8017800e
Sending x=4, y=14, polarity=1, packed=0x8004800e
Sending x=5, y=6, polarity=1, packed=0x80058006
Sending x=0, y=13, polarity=1, packed=0x8000800d
Sending x=19, y=6, polarity=1, packed=0x80138006
Sending x=12, y=0, polarity=1, packed=0x800c8000
Sending x=18, y=1, polarity=1, packed=0x80128001
Sending x=12, y=8, polarity=1, packed=0x800c8008
Sending x=11, y=6, polarity=1, packed=0x800b8006
Sending x=5, y=8, polarity=1, packed=0x80058008
Sending x=7, y=15, polarity=1, packed=0x8007800f
Sending x=4, y=15, polarity=1, packed=0x8004800f
Sending x=14, y=11, polarity=1, packed=0x800e800b
Sending x=21, y=7, polarity=1, packed=0x80158007
Sending x=23, y=1, polarity=1, packed=0x80178001
Sending x=0, y=9, polarity=1, packed=0x80008009
Sending x=12, y=5, polarity=1, packed=0x800c8005
Sending x=19, y=1, polarity=1, packed=0x80138001
Sending x=18, y=8, polarity=1, packed=0x80128008
Sending x=20, y=15, polarity=1, packed=0x8014800f
Sending x=15, y=14, polarity=1, packed=0x800f800e
Sending x=2, y=9, polarity=1, packed=0x80028009
Sending x=19, y=14, polarity=1, packed=0x8013800e
Sending x=13, y=11, polarity=1, packed=0x800d800b
Sending x=10, y=2, polarity=1, packed=0x800a8002
Sending x=7, y=6, polarity=1, packed=0x80078006
Sending x=4, y=14, polarity=1, packed=0x8004800e
Sending x=20, y=10, polarity=1, packed=0x8014800a
Sending x=23, y=14, polarity=1, packed=0x8017800e
Sending x=3, y=10, polarity=1, packed=0x8003800a
Sending x=10, y=15, polarity=1, packed=0x800a800f
Sending x=3, y=5, polarity=1, packed=0x80038005
Sending x=15, y=2, polarity=1, packed=0x800f8002
Sending x=7, y=6, polarity=1, packed=0x80078006
